1048	Enter: xác nhận câu trả lời (nếu mục 'Kiểm tra câu trả lời' đang đặt là 'Nút Đồng ý')
1049	Đếm tới %1 quả.
1050	Gom %1 loại quả rồi đếm từng nhóm (nhiều nhất %2 quả).
1051	Đếm tới %1 quả.
1052	Gom %1 loại quả rồi đếm từng nhóm (nhiều nhất %2 quả).
1067	Ở cấp một, con tha hồ khám phá từng con vật trên màn hình. Bấm vào một con vật để biết tên nó, tiếng kêu của nó và hình dáng của nó. Hãy nhớ kỹ, vì cấp 2 và cấp 3 sẽ hỏi lại đấy.
1068	Ở cấp hai, một tiếng kêu bất kỳ vang lên và con phải tìm xem con vật nào kêu như vậy. Bấm vào con vật đó. Nếu muốn nghe lại tiếng kêu, bấm nút phát.
1069	Ở cấp ba, một câu mô tả bất kỳ hiện ra và con phải bấm vào con vật đúng với câu đó.
1070	Hoạt động này cần âm thanh, nên vẫn sẽ phát tiếng dù giọng đọc hay hiệu ứng đã bị tắt trong phần cài đặt chung.
1071	Thoát
1072	Chơi tiếp
1073	Con ngựa
1074	Ngựa kêu 'hí'. Ngựa sinh ra để chạy, nhờ vậy thoát nhanh khỏi thú săn mồi, và giữ thăng bằng rất giỏi. Chân ngựa chỉ có một móng guốc.
1075	Con vật này chỉ có một móng guốc ở mỗi chân.
1076	Con gà
1077	Gà kêu 'cục tác'. Gà nhà có cánh nhưng không bay xa được. Trên đầu gà có mào.
1078	Con vật này có mào trên đầu.
1079	Con bò
1080	Bò kêu 'ụm bò'. Bò nhìn được góc rộng tới 330°. Bò có vị giác rất tốt, khoảng 20.000 nụ vị giác. Bò ngửi được mùi từ cách xa 8km.
1081	Con vật này có khoảng 20.000 nụ vị giác.
1082	Con mèo
1083	Mèo kêu 'meo meo'. Người ta quý mèo vì mèo làm bạn với người và bắt chuột giỏi. Mèo kêu rừ rừ để bày tỏ nhiều cảm xúc khác nhau.
1084	Con vật này kêu rừ rừ được.
1085	Con lợn
1086	Lợn kêu 'ụt ịt'. Lợn hay đằm mình trong bùn, chủ yếu để giữ mát cơ thể.
1087	Con vật này đằm mình trong bùn để giữ mát cơ thể.
1088	Con vịt
1089	Vịt kêu 'cạc cạc'. Vịt phần lớn sống dưới nước. Lông vịt không thấm nước, chân vịt có màng nên bơi được.
1090	Con vật này có màng ở chân và bơi được dưới nước.
1091	Con cú
1092	Cú kêu 'cú cú'. Cú là loài chim ăn đêm, ban đêm nhìn và nghe rất tinh.
1093	Con vật này là loài chim ăn đêm.
1094	Con chó
1095	Chó sủa 'gâu gâu'. Chó có lẽ là loài được thuần hoá sớm nhất. Chó là hậu duệ của chó sói.
1096	Con vật này là hậu duệ của chó sói.
1097	Con cừu
1098	Cừu kêu 'be be'. Phần lớn giống cừu có bộ lông dày. Lông cừu xén được và dùng để dệt vải.
1099	Con vật này cho ra lông để dệt vải.
1100	Bấm vào từng con vật trong trang trại để khám phá chúng.
1101	Bấm vào con vật trong trang trại kêu đúng tiếng con vừa nghe.
1102	Bấm vào con vật đúng với câu mô tả.
1108	Ảnh lấy từ Wikipedia.
1109	Chichén Itzá
1110	Chichén Itzá, nghĩa là "ở miệng giếng Itzá", là một thành phố của người Maya trên bán đảo Yucatán ở Mexico, nằm giữa Valladolid và Merida. Thành phố này có từ trước thời Christopher Columbus và từng là trung tâm tôn giáo của vùng Yucatán một thời gian.
1111	Đấu trường Colosseum
1112	Colosseum ngày nay là công trình cổ điển dễ nhận ra nhất của thành Rome. Dù đã 2000 năm tuổi và trải qua nhiều thế kỷ bị bỏ hoang, bị lấy đá đi xây chỗ khác, nó vẫn là hình mẫu cổ điển của các sân vận động ngày nay. Đây là nhà hát vòng cố định đầu tiên dựng ở Rome và là đấu trường bề thế nhất mà thế giới cổ đại từng thấy.
1113	Tượng Chúa Cứu Thế
1114	Tượng Chúa Cứu Thế là bức tượng Chúa Giê-su theo phong cách Art Deco ở Rio de Janeiro, Brazil. Là biểu tượng của Kitô giáo khắp thế giới, bức tượng cũng trở thành hình ảnh tiêu biểu của Rio de Janeiro và của cả Brazil.
1115	Vạn Lý Trường Thành
1116	Vạn Lý Trường Thành được UNESCO công nhận là Di sản Thế giới năm 1987. Như một con rồng khổng lồ, nó uốn lượn lên xuống qua sa mạc, đồng cỏ, núi non và cao nguyên, trải dài khoảng 21.196 kilômét từ đông sang tây Trung Quốc.
1117	Machu Picchu
1118	Machu Picchu nằm ở độ cao 2430 mét so với mực nước biển, giữa một khu rừng núi nhiệt đới, trong khung cảnh đẹp lạ thường. Đây có lẽ là công trình đô thị kỳ vĩ nhất của đế chế Inca thời hưng thịnh; những bức tường, ruộng bậc thang và đường dốc khổng lồ trông như được đẽo thẳng ra từ vách đá. Khung cảnh thiên nhiên ở sườn đông dãy Andes bao gồm cả thượng nguồn lưu vực Amazon với hệ động thực vật vô cùng phong phú.
1119	Petra
